Metadata_Plate,Metadata_Well,Metadata_split,Metadata_Batch,Metadata_Perturbation,Metadata_Cell_type,Metadata_Time,Metadata_broad_sample,Metadata_control_type,Metadata_solvent,Metadata_pert_iname,Metadata_target,Metadata_target_list,Metadata_moa_list,Metadata_purity,Metadata_pert_type,Metadata_pubchem_cid,Metadata_smiles
BR00116991,A13,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-A85242401-001-11-5,trt,DMSO,ascorbic-acid,P3H1,ALKBH2|ALKBH3|BBOX1|DBH|EGLN1|EGLN2|EGLN3|KDM5D|LCT|OGFOD1|OGFOD2|P3H1|P3H2|P3H3|P4HA1|P4HTM|PAM|PHYH|PLOD1|PLOD2|PLOD3|SLC23A1|SLC23A2|TMLHE,antioxidant,0.0,trt,9888239.0,OC[C@H](O)[C@H]1OC(=O)C(=O)C1O
BR00116991,A14,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K06426971-001-02-7,trt,DMSO,ryuvidine,CDK4,CDK2|CDK4,histone lysine methyltransferase inhibitor,90.8,trt,481747.0,Cc1nc2c(s1)C(=O)C=C(Nc1ccc(C)cc1)C2=O
BR00116991,A15,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K47049295-300-03-1,trt,DMSO,BAN-ORL-24,OPRL1,OPRL1,nociceptin/orphanin FQ receptor antagonist,81.7,trt,10296561.0,O=C(NCCCN1CCC2(CC1)OCc1ccccc21)[C@H]1CCCN1Cc1ccccc1
BR00116991,A16,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K78122587-300-04-3,trt,DMSO,NNC-55-0396,CATSPER4,CATSPER1|CATSPER2|CATSPER3|CATSPER4,T-type calcium channel blocker,95.9,trt,9957280.0,CC(C)[C@H]1c2ccc(F)cc2CC[C@@]1(CCN(C)CCCc1nc2ccccc2[nH]1)OC(=O)C1CC1
BR00116991,A17,train,2020_11_04_CPJUMP1,compound,A549,24,DMSO,negcon,DMSO,,,,,,,,
BR00116991,A18,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K50199947-001-03-4,trt,DMSO,WH-4-023,LCK,LCK|SRC,src inhibitor,84.1,trt,11844351.0,COc1ccc(N(C(=O)Oc2c(C)cccc2C)c2ccnc(Nc3ccc(cc3)N3CCN(C)CC3)n2)c(OC)c1
BR00116991,A19,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K50720187-051-03-1,trt,DMSO,flupirtine,KCNQ2,ADRA2A|KCNQ1|KCNQ2,glutamate receptor antagonist,8.9,trt,53276.0,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N
BR00116991,A20,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K91825936-001-03-9,trt,DMSO,ZK811752,CCR1,CCR1,CC chemokine receptor antagonist,99.1,trt,512282.0,C[C@@H]1CN(Cc2ccc(F)cc2)CCN1C(=O)COc1ccc(Cl)cc1NC(N)=O
BR00116991,A21,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K38775274-001-22-1,trt,DMSO,dexamethasone,ANXA1,ANXA1|NOS2|NR0B1|NR3C1|NR3C2,glucocorticoid receptor agonist,87.6,trt,5743.0,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
BR00116991,A22,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K47598052-001-14-1,trt,DMSO,PP-1,HCK,HCK|RET,src inhibitor,97.8,trt,1400.0,Cc1ccc(cc1)-c1nn(c2ncnc(N)c12)C(C)(C)C
BR00116991,A23,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K61845293-300-01-9,trt,DMSO,DDR1-IN-1,DDR2,DDR1|DDR2,discoidin domain receptor inhibitor,97.5,trt,72836888.0,CCN1CCN(Cc2ccc(cc2C(F)(F)F)C(=O)Nc2ccc(C)c(Oc3ccc4NC(=O)Cc4c3)c2)CC1
BR00116991,A24,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K87782578-001-01-4,trt,DMSO,AVL-292,BTK,BTK|YES1,Bruton's tyrosine kinase (BTK) inhibitor,91.8,trt,59174488.0,COCCOc1ccc(Nc2ncc(F)c(Nc3cccc(NC(=O)C=C)c3)n2)cc1
BR00116991,B01,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K26439554-001-01-3,trt,DMSO,H2L-5765834,LPAR1,LPAR1|LPAR3,lysophosphatidic acid receptor antagonist,83.2,trt,1365686.0,OC(=O)c1ccc2C(=O)N(C(=O)c2c1)c1cccc(Oc2ccc(cc2)[N+]([O-])=O)c1
BR00116991,B02,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K58049875-001-03-9,trt,DMSO,thiostrepton,FOXM1,FOXM1,FOXM1 inhibitor|protein synthesis inhibitor,55.7,trt,16154490.0,CC[C@H](C)[C@@H]1N[C@@H]2C=Cc3c(cc(nc3[C@H]2O)C(=O)O[C@H](C)[C@@H]2NC(=O)c3csc(n3)[C@@H](NC(=O)[C@H]3CSC(=N3)\C(NC(=O)[C@@H](NC(=O)c3csc(n3)[C@]3(CCC(=N[C@@H]3c3csc2n3)c2nc(cs2)C(=O)NC(=C)C(=O)NC(=C)C(N)=O)NC(=O)[C@H](C)NC(=O)C(=C)NC(=O)[C@H](C)NC1=O)[C@@H](C)O)=C\C)[C@](C)(O)[C@@H](C)O)[C@H](C)O
BR00116991,B03,train,2020_11_04_CPJUMP1,compound,A549,24,DMSO,negcon,DMSO,,,,,,,,
BR00116991,B04,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K72726508-001-02-1,trt,DMSO,arcyriaflavin-a,CCND1,CCND1|CDK4,CDK inhibitor,78.5,trt,5327723.0,O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1[nH]c3ccccc3c21
BR00116991,B05,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K29151923-001-01-5,trt,DMSO,CYM-5520,S1PR2,S1PR2,sphingosine 1 phosphate receptor agonist,95.6,trt,25110470.0,Cc1cc(C(=O)Cn2cc(ccc2=O)C#N)c(C)n1Cc1ccccc1
BR00116991,B06,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K66788707-001-14-3,trt,DMSO,fludarabine,ADA,ADA|RRM1|RRM2,ribonucleotide reductase inhibitor,93.2,trt,657237.0,Nc1nc(F)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O
BR00116991,B07,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K06890060-001-09-1,trt,DMSO,alda-1,ALDH2,ALDH2,aldehyde dehydrogenase activator,98.1,trt,831629.0,Clc1cccc(Cl)c1C(=O)NCc1ccc2OCOc2c1
BR00116991,B08,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K50398167-236-22-7,trt,DMSO,meclofenamic-acid,KCNQ2,ALOX5|CNR1|KCNQ2|KCNQ3|PTGS1|PTGS2,cyclooxygenase inhibitor|prostanoid receptor antagonist,93.7,trt,4037.0,Cc1ccc(Cl)c(Nc2ccccc2C(O)=O)c1Cl
BR00116991,B09,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K87632963-001-03-0,trt,DMSO,GNF-5,ABL1,ABL1|BCR,Bcr-Abl kinase inhibitor,98.0,trt,44129660.0,OCCNC(=O)c1cccc(c1)-c1ncnc(Nc2ccc(cc2)OC(F)(F)F)c1
BR00116991,B10,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K37602296-001-01-6,trt,DMSO,NS-309,KCNN4,KCNN1|KCNN2|KCNN3|KCNN4,calcium-activated potassium channel activator,94.9,trt,11637204.0,ON=C1C(=O)Nc2c1ccc(Cl)c2Cl
BR00116991,B11,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K09143580-001-01-0,trt,DMSO,AK-7,SIRT2,SIRT2,SIRT inhibitor,96.6,trt,1328033.0,Brc1cccc(NC(=O)c2cccc(c2)S(=O)(=O)N2CCCCCC2)c1
BR00116991,B12,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-A22713669-001-04-3,trt,DMSO,BVT-948,PTPN2,PTPN1|PTPN11|PTPN2,tyrosine phosphatase inhibitor,89.3,trt,44483339.0,CC1(C)C2C(=NC1=O)c1ccccc1C(=O)C2=O
BR00116991,B13,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K16472653-001-01-6,trt,DMSO,SirReal-2,SIRT2,SIRT2,SIRT inhibitor,97.8,trt,1096292.0,Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3cccc4ccccc34)s2)n1
BR00116991,B14,train,2020_11_04_CPJUMP1,compound,A549,24,DMSO,negcon,DMSO,,,,,,,,
BR00116991,B15,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K34581968-001-05-3,trt,DMSO,BMS-536924,LCK,AKT1|CCNE1|CDK2|CYP3A4|ERBB2|IGF1R|KDR|LCK|MAPK1|MET|PDGFRA|PDGFRB,IGF-1 inhibitor,92.3,trt,,Cc1cc(cc2[nH]c(nc12)-c1c(NC[C@@H](O)c2cccc(Cl)c2)cc[nH]c1=O)N1CCOCC1
BR00116991,B16,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K81801188-001-02-8,trt,DMSO,PP-121,HCK,ABL1|EGFR|HCK|KDR|MTOR|PDGFRA|PIK3CA|PIK3CB|PIK3CD|PIK3CG|PRKDC|SRC,protein tyrosine kinase inhibitor,94.2,trt,24905142.0,C1CCC(C1)n1nc(-c2cnc3[nH]ccc3c2)c2c(N)ncnc12
BR00116991,B17,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K73276278-305-01-1,trt,DMSO,MCOPPB,OPRL1,OPRL1,nociceptin/orphanin FQ (NOP) receptor agonist,96.6,trt,24800108.0,CC1(CCCCCCC1)N1CCC(CC1)n1c(nc2ccccc12)[C@@H]1CCCNC1
BR00116991,B18,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K53061490-003-13-9,trt,DMSO,ozagrel,TBXAS1,TBXAS1,thromboxane synthase inhibitor,0.0,trt,5282440.0,OC(=O)\C=C\c1ccc(Cn2ccnc2)cc1
BR00116991,B19,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-A43005764-003-01-5,trt,DMSO,CYM-5442,S1PR1,S1PR1,sphingosine 1 phosphate receptor agonist,97.7,trt,25110406.0,CCOc1ccc(cc1OCC)-c1nc(no1)-c1cccc2C(CCc12)NCCO
BR00116991,B20,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K60659193-001-01-0,trt,DMSO,CVT-10216,ALDH2,ALDH2,aldehyde dehydrogenase inhibitor,95.0,trt,23661666.0,CS(=O)(=O)Nc1ccc(cc1)-c1coc2cc(OCc3cccc(c3)C(O)=O)ccc2c1=O
BR00116991,B21,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K09787262-001-02-7,trt,DMSO,TCN201,GRIN2A,GRIN2A,glutamate receptor antagonist,98.3,trt,4787937.0,Fc1ccc(cc1Cl)S(=O)(=O)NCc1ccc(cc1)C(=O)NNC(=O)c1ccccc1
BR00116991,B22,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K56810756-003-07-7,trt,DMSO,fomepizole,ADH1C,ADH1A|ADH1B|ADH1C|AKR1A1|CAT,alcohol dehydrogenase inhibitor,96.3,trt,3406.0,Cc1cn[nH]c1
BR00116991,B23,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K87158025-003-08-7,trt,DMSO,benzamil,SCNN1G,ASIC1|PKD2L1|SCNN1A|SCNN1B|SCNN1D|SCNN1G|SLC8A1,sodium channel blocker,97.0,trt,108107.0,NC(NCc1ccccc1)=NC(=O)c1nc(Cl)c(N)nc1N
BR00116991,B24,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-A18992208-003-02-7,trt,DMSO,lercanidipine,CACNG1,CACNA2D1|CACNG1,calcium channel blocker,96.6,trt,65866.0,COC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC(C)(C)CN(C)CCC(c1ccccc1)c1ccccc1
BR00116991,C01,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-A54139254-001-09-2,trt,DMSO,4-CMTB,FFAR2,FFAR2,free fatty acid receptor agonist,94.0,trt,4307629.0,CC(C)C(C(=O)Nc1nccs1)c1ccc(Cl)cc1
BR00116991,C02,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K44432556-001-05-5,trt,DMSO,ML-228,HIF1A,HIF1A,hypoxia inducible factor activator,0.0,trt,46742353.0,C(Nc1nc(nnc1-c1ccccc1)-c1ccccn1)c1ccc(cc1)-c1ccccc1
BR00116991,C03,train,2020_11_04_CPJUMP1,compound,A549,24,DMSO,negcon,DMSO,,,,,,,,
BR00116991,C04,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K36740062-001-06-6,trt,DMSO,GSK1070916,CYP3A4,AURKA|AURKB|AURKC|CYP2D6|CYP3A4,Aurora kinase inhibitor,94.6,trt,46885626.0,CCn1cc(c(n1)-c1ccc(NC(=O)N(C)C)cc1)-c1ccnc2[nH]c(cc12)-c1cccc(CN(C)C)c1
BR00116991,C05,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K27539181-001-08-5,trt,DMSO,ML-193,GPR55,GPR55,G protein-coupled receptor antagonist,97.0,trt,1261822.0,Cc1noc(NS(=O)(=O)c2ccc(NC(=O)c3cc(nc4c(C)cc(C)cc34)-c3ccccn3)cc2)c1C
BR00116991,C06,train,2020_11_04_CPJUMP1,compound,A549,24,DMSO,negcon,DMSO,,,,,,,,
BR00116991,C07,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K51265828-001-01-0,trt,DMSO,M-25,DHH,DHH|IHH|SMO,smoothened receptor antagonist,98.7,trt,44250034.0,CCCC(CCC)C(=O)NCc1ccc2n(ncc2c1)-c1ccccc1OC
BR00116991,C08,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K51899933-001-02-6,trt,DMSO,azeliragon,AGER,AGER,RAGE receptor antagonist,82.6,trt,11180124.0,CCCCc1nc(cn1-c1ccc(Oc2ccc(Cl)cc2)cc1)-c1ccc(OCCCN(CC)CC)cc1
BR00116991,C09,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K23363278-001-02-1,trt,DMSO,CYT-997,TUBB,TUBB,tubulin polymerization inhibitor,95.5,control,11351021.0,CCC[C@H](Nc1nc(ncc1C)-c1ccc(NC(=O)NCC)c(OC)c1)c1cccnc1
BR00116991,C10,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K90497590-001-05-9,trt,DMSO,AR-12,PDPK1,PDPK1,phosphoinositide dependent kinase inhibitor,93.8,trt,10027278.0,NCC(=O)Nc1ccc(cc1)-n1nc(cc1-c1ccc2c(ccc3ccccc23)c1)C(F)(F)F
BR00116991,C11,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K69877120-001-01-7,trt,DMSO,CYM-50260,S1PR4,S1PR4,sphingosine 1 phosphate receptor agonist,92.0,trt,44620894.0,FCc1ccc(OCCOc2ccc(Cl)cc2Cl)c(Cl)n1
BR00116991,C12,train,2020_11_04_CPJUMP1,compound,A549,24,DMSO,negcon,DMSO,,,,,,,,
BR00116991,C13,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K90747162-001-01-4,trt,DMSO,KG-5,FLT3,BRAF|FLT3|KIT|PDGFRB,RAF inhibitor,97.6,control,53328059.0,CSc1nc(N)cc(Oc2ccc(cc2)-c2nnc(Nc3cccc(c3)C(F)(F)F)[nH]2)n1
BR00116991,C14,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K81405859-300-01-4,trt,DMSO,JTE-607,TNF,IL10|IL1B|IL6|TNF,cytokine production inhibitor,94.7,trt,9938545.0,CCOC(=O)[C@H](Cc1ccccc1)NC(=O)c1cc(Cl)c(OCCN2CCN(C)CC2)c(Cl)c1O
BR00116991,C15,train,2020_11_04_CPJUMP1,compound,A549,24,DMSO,negcon,DMSO,,,,,,,,
BR00116991,C16,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K51662849-001-05-4,trt,DMSO,ilomastat,MMP2,ACAN|ADAM28|MMP1|MMP12|MMP13|MMP14|MMP2|MMP3|MMP8|MMP9,matrix metalloprotease inhibitor,73.8,trt,132519.0,CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CC(C)C)CC(=O)NO
BR00116991,C17,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-A65597028-003-08-1,trt,DMSO,RX-821002,ADRA2B,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C,adrenergic receptor antagonist,90.9,trt,108094.0,COC1(COc2ccccc2O1)C1=NCCN1
BR00116991,C18,train,2020_11_04_CPJUMP1,compound,A549,24,DMSO,negcon,DMSO,,,,,,,,
BR00116991,C19,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K24282351-001-01-4,trt,DMSO,TUG-891,FFAR4,FFAR4,free fatty acid receptor agonist,98.2,trt,57522038.0,Cc1ccc(cc1)-c1ccc(F)cc1COc1ccc(CCC(O)=O)cc1
BR00116991,C20,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K44227013-001-08-0,trt,DMSO,ponatinib,LYN,ABL1|BCR|FGFR1|FGFR2|FGFR3|FGFR4|FLT3|KDR|KIT|LCK|LYN|PDGFRA|RET|SRC|TEK,Bcr-Abl kinase inhibitor|FLT3 inhibitor|PDGFR tyrosine kinase receptor inhibitor,93.4,trt,24826799.0,CN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(c3)C#Cc3cnc4cccnn34)cc2C(F)(F)F)CC1
BR00116991,C21,train,2020_11_04_CPJUMP1,compound,A549,24,DMSO,negcon,DMSO,,,,,,,,
BR00116991,C22,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K01824976-300-02-9,trt,DMSO,puromycin,RPL23A,SNU13|RPL10L|RPL11|RPL13A|RPL15|RPL19|RPL23|RPL23A|RPL26L1|RPL3|RPL37|RPL8|RSL24D1,protein synthesis inhibitor,90.9,trt,5702164.0,COc1ccc(C[C@H](N)C(=O)N[C@@H]2[C@@H](CO)OC([C@@H]2O)n2cnc3c(ncnc23)N(C)C)cc1
BR00116991,C23,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K50495309-001-02-0,trt,DMSO,SRC-kinase-inhibitor-I,CSK,CSK|LCK|RIPK2,src inhibitor,97.0,trt,1474853.0,COc1cc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2cc1OC
BR00116991,C24,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K59058747-001-19-1,trt,DMSO,acetylcysteine,SLC7A11,ACY1|CHUK|GRIN1|GRIN2A|GRIN2B|GRIN2D|GRIN3A|GSS|IKBKB|RELA|SLC7A11,mucolytic agent,0.0,trt,12035.0,CC(=O)N[C@@H](CS)C(O)=O
BR00116991,D01,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K62949423-001-03-1,trt,DMSO,NSC-625987,CDK4,CDK2|CDK4,CDK inhibitor,14.1,trt,3004085.0,COc1ccc(OC)c2c1[nH]c1ccccc1c2=S
BR00116991,D02,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K22482860-001-20-6,trt,DMSO,dalfampridine,KCNH7,KCNA1|KCNA10|KCNA2|KCNA3|KCNA4|KCNA5|KCNA6|KCNA7|KCNB1|KCNB2|KCNC1|KCNC2|KCNC3|KCNC4|KCND1|KCND2|KCND3|KCNF1|KCNG1|KCNG2|KCNG3|KCNG4|KCNH1|KCNH2|KCNH3|KCNH4|KCNH5|KCNH6|KCNH7|KCNH8|KCNJ13|KCNJ5|KCNQ1|KCNQ2|KCNQ3|KCNQ4|KCNQ5|KCNS1|KCNS2|KCNS3|KCNV1|KCNV2,potassium channel blocker,89.8,trt,1727.0,Nc1ccncc1
BR00116991,D03,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K68143200-001-11-7,trt,DMSO,NSC-95397,CDC25A,CDC25A|CDC25B,CDC inhibitor,0.0,trt,262093.0,OCCSC1=C(SCCO)C(=O)c2ccccc2C1=O
BR00116991,D04,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K35498378-001-06-1,trt,DMSO,alrestatin,AKR1B1,AKR1B1,aldose reductase inhibitor,96.6,trt,2120.0,OC(=O)CN1C(=O)c2cccc3cccc(C1=O)c23
BR00116991,D05,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K37764012-001-03-3,trt,DMSO,PF-03758309,PAK4,PAK4,p21 activated kinase inhibitor,93.3,control,25227462.0,CN(C)C[C@@H](NC(=O)N1Cc2c(Nc3nc(C)nc4ccsc34)n[nH]c2C1(C)C)c1ccccc1
BR00116991,D06,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K98357249-001-02-9,trt,DMSO,IRL-2500,EDNRB,EDNRB,endothelin receptor antagonist,96.2,trt,5311192.0,CN([C@H](Cc1ccc(cc1)-c1ccccc1)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(O)=O)C(=O)c1cc(C)cc(C)c1
BR00116991,D07,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K73319509-001-08-0,trt,DMSO,PF-04217903,MET,MET,c-Met inhibitor,95.5,control,17754438.0,OCCn1cc(cn1)-c1cnc2nnn(Cc3ccc4ncccc4c3)c2n1
BR00116991,D08,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K58550667-001-08-7,trt,DMSO,FK-866,NAMPT,NAMPT,niacinamide phosphoribosyltransferase inhibitor,93.7,control,6914657.0,O=C(NCCCCC1CCN(CC1)C(=O)c1ccccc1)\C=C\c1cccnc1
BR00116991,D09,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K29530284-001-06-2,trt,DMSO,amlexanox,FGF1,FGF1|IL3|PDE4A|PDE4B|PDE4C|PDE4D|S100A12|S100A13,histamine receptor modulator,97.9,trt,2161.0,CC(C)c1ccc2oc3nc(N)c(cc3c(=O)c2c1)C(O)=O
BR00116991,D10,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K37864785-001-01-0,trt,DMSO,GW-311616,ELANE,ELANE,leukocyte elastase inhibitor|elastase inhibitor,96.3,trt,9800961.0,CC(C)[C@H]1[C@H]2[C@@H](CCN2C(=O)\C=C\CN2CCCCC2)N(C1=O)S(C)(=O)=O
BR00116991,D11,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K42191735-001-08-7,trt,DMSO,buparlisib,PIK3CG,PIK3CA|PIK3CG,PI3K inhibitor,89.0,control,16654980.0,Nc1cc(c(cn1)-c1cc(nc(n1)N1CCOCC1)N1CCOCC1)C(F)(F)F
BR00116991,D12,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K97181089-003-24-7,trt,DMSO,amiloride,ASIC1,AOC1|ASIC1|ASIC2|ASIC3|PKD2|PKD2L1|PLAU|SCNN1A|SCNN1B|SCNN1D|SCNN1G|SLC9A1|TRPC7|TRPV2,sodium channel blocker,96.7,trt,16231.0,NC(=N)NC(=O)c1nc(Cl)c(N)nc1N
BR00116991,D13,train,2020_11_04_CPJUMP1,compound,A549,24,BRD-K75748943-300-01-3,trt,DMSO,DG-172,PPARD,PPARD,PPAR receptor inverse agonist,81.7,trt,57342889.0,CN1CCN(CC1)c1ccc(cc1)\C=C(/C#N)c1ccccc1Br
BR00116991,D14,train,2020_11_04_CPJUMP1,compound,A549,24,DMSO,negcon,DMSO,,,,,,,,
